block_seq_num,block_var_num,block_route_num,block_run_num
6009442,1,599,1
6009444,1,599,2
6009446,1,599,8
6009447,1,599,4
6009448,1,599,9
6009449,1,599,5
6009450,1,599,10
6009451,1,599,12
6009452,1,599,3
6009453,1,599,11
6009454,1,599,7
6009457,1,599,12
6009458,1,599,8
6009459,1,599,41
6009460,1,599,52
6009461,1,599,2
6009462,1,599,10
6009463,1,599,4
6009464,1,599,5
6009465,1,599,1
6009466,1,599,42
6009467,1,599,51
6009468,1,599,3
6009469,1,599,6
6009470,1,599,7
6009474,1,599,8
6009475,1,599,2
6009476,1,599,4
6009477,1,599,10
6009478,1,599,5
6009479,1,599,6
6009480,1,599,3
6009481,1,599,11
6009727,1,599,6
6009728,1,599,7
6009827,1,599,12
6009828,1,599,1
6009829,1,599,9
6010969,1,599,11
6010970,1,599,9
6015494,1,40,5
6015495,1,40,4
6015496,1,40,9
6015497,1,40,8
6015498,1,40,11
6015499,1,40,13
6015500,1,5,2
6015501,1,5,3
6015502,1,5,4
6015503,1,5,5
6015504,1,5,6
6015505,1,5,7
6015506,1,5,8
6015507,1,5,9
6015508,1,5,11
6015509,1,5,19
6015510,1,60,1
6015511,1,60,4
6015512,1,60,5
6015513,1,106,1
6015514,1,106,2
6015515,1,106,3
6015516,1,106,4
6015517,1,106,5
6015518,1,106,6
6015519,1,106,7
6015520,1,106,8
6015521,1,106,9
6015522,1,106,10
6015523,1,106,11
6015524,1,5,1
6015525,1,11,1
6015526,1,11,2
6015527,1,5,13
6015528,1,5,14
6015529,1,40,7
6015530,1,40,10
6015531,1,40,6
6015532,1,40,2
6015533,1,40,1
6015534,1,60,6
6015535,1,40,3
6015536,1,5,18
6015537,1,5,15
6015538,1,5,10
6015539,1,5,12
6015540,1,5,17
6015541,1,40,19
6015542,1,40,12
6015543,1,40,18
6015544,1,40,15
6015545,1,11,6
6015546,1,40,17
6015547,1,5,16
6015548,1,40,16
6015549,1,40,14
6015550,1,40,20
6015551,1,674,1
6015552,1,674,2
6015553,1,674,3
6015554,1,674,4
6015555,1,674,6
6015556,1,674,8
6015557,1,674,7
6015558,1,675,1
6015559,1,675,2
6015560,1,675,3
6015561,1,675,5
6015562,1,675,6
6015563,1,675,7
6015564,1,675,9
6015565,1,675,10
6015566,1,675,22
6015567,1,675,14
6015568,1,675,13
6015569,1,675,18
6015570,1,675,19
6015571,1,674,14
6015572,1,674,13
6015573,1,675,21
6015574,1,675,20
6015575,1,675,15
6015576,1,675,16
6015577,1,675,4
6015578,1,675,8
6015579,1,675,11
6015580,1,675,12
6015581,1,675,17
6015582,1,674,5
6015583,1,674,9
6015584,1,106,13
6015585,1,106,12
6015586,1,674,12
6015587,1,674,11
6015588,1,674,10
6015589,1,60,11
6015590,1,11,3
6015591,1,11,4
6015592,1,11,5
6015593,1,60,8
6015594,1,60,7
6015595,1,60,3
6015596,1,60,2
6015597,1,60,12
6015598,1,60,9
6015599,1,60,10
6015600,1,5,2
6015601,1,5,3
6015602,1,5,4
6015603,1,5,5
6015604,1,5,7
6015605,1,60,1
6015606,1,60,4
6015607,1,60,5
6015608,1,5,1
6015609,1,11,1
6015610,1,11,2
6015611,1,106,1
6015612,1,106,4
6015613,1,106,3
6015614,1,106,7
6015615,1,106,6
6015616,1,106,8
6015617,1,106,2
6015618,1,106,5
6015619,1,106,10
6015620,1,106,9
6015621,1,106,11
6015622,1,11,5
6015623,1,40,2
6015624,1,40,1
6015625,1,40,4
6015626,1,40,3
6015627,1,40,5
6015628,1,40,6
6015629,1,40,8
6015630,1,40,7
6015631,1,40,10
6015632,1,40,9
6015633,1,60,9
6015634,1,5,6
6015635,1,5,13
6015636,1,5,10
6015637,1,5,9
6015638,1,5,8
6015639,1,40,12
6015640,1,40,17
6015641,1,40,15
6015642,1,40,13
6015643,1,40,11
6015644,1,40,14
6015645,1,106,13
6015646,1,11,4
6015647,1,11,3
6015648,1,5,11
6015649,1,5,12
6015650,1,40,16
6015651,1,674,2
6015652,1,674,1
6015653,1,674,3
6015654,1,674,4
6015655,1,674,6
6015656,1,674,7
6015657,1,674,8
6015658,1,675,1
6015659,1,675,2
6015660,1,675,3
6015661,1,675,4
6015662,1,675,5
6015663,1,675,6
6015664,1,675,7
6015665,1,675,8
6015666,1,675,9
6015667,1,675,10
6015668,1,675,11
6015669,1,675,12
6015670,1,675,14
6015671,1,675,13
6015672,1,675,21
6015673,1,675,20
6015674,1,675,19
6015675,1,675,18
6015676,1,675,17
6015677,1,675,16
6015678,1,675,15
6015679,1,675,22
6015680,1,674,14
6015681,1,674,13
6015682,1,674,12
6015683,1,674,11
6015684,1,674,10
6015685,1,674,5
6015686,1,674,9
6015687,1,106,12
6015688,1,60,11
6015689,1,60,2
6015690,1,60,3
6015691,1,60,6
6015692,1,60,7
6015693,1,60,8
6015694,1,60,10
6015695,1,5,7
6015696,1,5,2
6015697,1,5,4
6015698,1,5,10
6015699,1,5,9
6015700,1,5,3
6015701,1,5,6
6015702,1,5,11
6015703,1,21,1
6015704,1,56,2
6015705,1,74,1
6015706,1,21,7
6015707,1,56,1
6015708,1,74,2
6015709,1,21,2
6015710,1,57,4
6015711,1,74,4
6015712,1,57,2
6015713,1,56,4
6015714,1,56,6
6015715,1,56,5
6015716,1,57,1
6015717,1,21,4
6015718,1,21,8
6015719,1,21,3
6015720,1,56,3
6015721,1,57,3
6015722,1,55,1
6015723,1,55,5
6015724,1,21,9
6015725,1,21,6
6015726,1,106,1
6015727,1,106,3
6015728,1,106,8
6015729,1,106,10
6015730,1,106,12
6015731,1,106,2
6015732,1,106,5
6015733,1,106,13
6015734,1,106,11
6015735,1,106,6
6015736,1,106,4
6015737,1,106,7
6015738,1,106,14
6015739,1,5,1
6015740,1,60,2
6015741,1,60,3
6015742,1,60,5
6015743,1,60,6
6015744,1,60,7
6015745,1,60,8
6015746,1,60,9
6015747,1,60,10
6015748,1,60,12
6015749,1,60,14
6015750,1,60,16
6015751,1,60,13
6015752,1,5,19
6015753,1,60,15
6015754,1,11,2
6015755,1,11,1
6015756,1,5,22
