block_identifier,service_id,trip_id,trip_sequence
6009442,13316,51865204,1
6009442,13316,51865095,2
6009442,13316,51865214,3
6009442,13316,51865105,4
6009442,13316,51865225,5
6009442,13316,51865117,6
6009442,13316,51865237,7
6009442,13316,51865129,8
6009442,13316,51865249,9
6009442,13316,51865141,10
6009442,13316,51865261,11
6009442,13316,51865153,12
6009442,13316,51865273,13
6009442,13316,51865165,14
6009442,13316,51865285,15
6009442,13316,51865177,16
6009442,13316,51865297,17
6009442,13316,51865189,18
6009442,13316,51865313,19
6009444,13316,51865205,1
6009444,13316,51865096,2
6009444,13316,51865215,3
6009444,13316,51865106,4
6009444,13316,51865226,5
6009444,13316,51865118,6
6009444,13316,51865238,7
6009444,13316,51865130,8
6009444,13316,51865250,9
6009444,13316,51865142,10
6009444,13316,51865262,11
6009444,13316,51865154,12
6009444,13316,51865274,13
6009444,13316,51865166,14
6009444,13316,51865286,15
6009444,13316,51865178,16
6009444,13316,51865298,17
6009444,13316,51865190,18
6009444,13316,51865314,19
6009444,13316,51865202,20
6009446,13316,51865091,1
6009446,13316,51865210,2
6009446,13316,51865101,3
6009446,13316,51865220,4
6009446,13316,51865112,5
6009446,13316,51865232,6
6009446,13316,51865124,7
6009446,13316,51865244,8
6009446,13316,51865136,9
6009446,13316,51865256,10
6009446,13316,51865148,11
6009446,13316,51865268,12
6009446,13316,51865160,13
6009446,13316,51865280,14
6009446,13316,51865172,15
6009446,13316,51865292,16
6009446,13316,51865184,17
6009446,13316,51865304,18
6009447,13316,51865206,1
6009447,13316,51865097,2
6009447,13316,51865216,3
6009447,13316,51865108,4
6009447,13316,51865228,5
6009447,13316,51865120,6
6009447,13316,51865240,7
6009447,13316,51865132,8
6009447,13316,51865252,9
6009447,13316,51865144,10
6009447,13316,51865264,11
6009447,13316,51865156,12
6009447,13316,51865276,13
6009447,13316,51865168,14
6009447,13316,51865288,15
6009447,13316,51865180,16
6009447,13316,51865300,17
6009447,13316,51865191,18
6009447,13316,51865315,19
6009448,13316,51865092,1
6009448,13316,51865211,2
6009448,13316,51865102,3
6009448,13316,51865221,4
6009448,13316,51865113,5
6009448,13316,51865233,6
6009448,13316,51865125,7
6009448,13316,51865245,8
6009448,13316,51865137,9
6009448,13316,51865257,10
6009448,13316,51865149,11
6009448,13316,51865269,12
6009448,13316,51865161,13
6009448,13316,51865281,14
6009448,13316,51865173,15
6009448,13316,51865293,16
6009448,13316,51865185,17
6009448,13316,51865305,18
6009448,13316,51865194,19
6009449,13316,51865207,1
6009449,13316,51865098,2
6009449,13316,51865217,3
6009449,13316,51865109,4
6009449,13316,51865229,5
6009449,13316,51865121,6
6009449,13316,51865241,7
6009449,13316,51865133,8
6009449,13316,51865253,9
6009449,13316,51865145,10
6009449,13316,51865265,11
6009449,13316,51865157,12
6009449,13316,51865277,13
6009449,13316,51865169,14
6009449,13316,51865289,15
6009449,13316,51865181,16
6009449,13316,51865301,17
6009450,13316,51865093,1
6009450,13316,51865212,2
6009450,13316,51865103,3
6009450,13316,51865222,4
6009450,13316,51865114,5
6009450,13316,51865234,6
6009450,13316,51865126,7
6009450,13316,51865246,8
6009450,13316,51865138,9
6009450,13316,51865258,10
6009450,13316,51865150,11
6009450,13316,51865270,12
6009450,13316,51865162,13
6009450,13316,51865282,14
6009450,13316,51865174,15
6009450,13316,51865294,16
6009450,13316,51865186,17
6009451,13316,51865094,1
6009451,13316,51865213,2
6009451,13316,51865104,3
6009451,13316,51865224,4
6009451,13316,51865116,5
6009451,13316,51865236,6
6009451,13316,51865128,7
6009451,13316,51865248,8
6009451,13316,51865140,9
6009451,13316,51865260,10
6009451,13316,51865152,11
6009451,13316,51865272,12
6009451,13316,51865164,13
6009451,13316,51865284,14
6009451,13316,51865176,15
6009451,13316,51865296,16
6009451,13316,51865188,17
6009451,13316,51865312,18
6009451,13316,51865200,19
6009452,13316,51865306,1
6009452,13316,51865107,2
6009452,13316,51865227,3
6009452,13316,51865119,4
6009452,13316,51865239,5
6009452,13316,51865131,6
6009452,13316,51865251,7
6009452,13316,51865143,8
6009452,13316,51865263,9
6009452,13316,51865155,10
6009452,13316,51865275,11
6009452,13316,51865167,12
6009452,13316,51865287,13
6009452,13316,51865179,14
6009452,13316,51865299,15
6009453,13316,51865195,1
6009453,13316,51865223,2
6009453,13316,51865115,3
6009453,13316,51865235,4
6009453,13316,51865127,5
6009453,13316,51865247,6
6009453,13316,51865139,7
6009453,13316,51865259,8
6009453,13316,51865151,9
6009453,13316,51865271,10
6009453,13316,51865163,11
6009453,13316,51865283,12
6009453,13316,51865175,13
6009453,13316,51865295,14
6009453,13316,51865187,15
6009453,13316,51865311,16
6009454,49307,52084355,1
6009454,49307,52084533,2
6009454,49307,52084415,3
6009454,49307,52084546,4
6009454,49307,52084428,5
6009454,49307,52084559,6
6009454,49307,52084442,7
6009454,49307,52084571,8
6009454,49307,52084454,9
6009454,49307,52084583,10
6009454,49307,52084466,11
6009454,49307,52084601,12
6009454,49307,52084478,13
6009454,49307,52084403,14
6009454,49307,52084492,15
6009454,49307,52084380,16
6009454,49307,52084506,17
6009454,49307,52084394,18
6009454,49307,52084518,19
6009454,49307,52084397,20
6009454,49307,52084528,21
6009457,49307,52084611,1
6009457,49307,52084410,2
6009457,49307,52084538,3
6009457,49307,52084420,4
6009457,49307,52084552,5
6009457,49307,52084434,6
6009457,49307,52084564,7
6009457,49307,52084447,8
6009457,49307,52084576,9
6009457,49307,52084459,10
6009457,49307,52084588,11
6009457,49307,52084471,12
6009457,49307,52084362,13
6009457,49307,52084485,14
6009457,49307,52084374,15
6009457,49307,52084499,16
6009457,49307,52084372,17
6009457,49307,52084511,18
6009457,49307,52084384,19
6009457,49307,52084523,20
6009457,49307,52084364,21
6009457,49307,52084531,22
6009458,49307,52084604,1
6009458,49307,52084534,2
6009458,49307,52084416,3
6009458,49307,52084547,4
6009458,49307,52084429,5
6009458,49307,52084560,6
6009458,49307,52084443,7
6009458,49307,52084572,8
6009458,49307,52084455,9
6009458,49307,52084584,10
6009458,49307,52084467,11
6009458,49307,52084595,12
6009458,49307,52084480,13
6009458,49307,52084399,14
6009458,49307,52084494,15
6009458,49307,52084376,16
6009458,49307,52084507,17
6009458,49307,52084392,18
6009458,49307,52084519,19
6009459,49307,52084612,1
6009459,49307,52084411,2
6009459,49307,52084540,3
6009459,49307,52084422,4
6009459,49307,52084554,5
6009459,49307,52084436,6
6009460,49307,52084610,1
6009460,49307,52084356,2
6009460,49307,52084484,3
6009460,49307,52084387,4
6009460,49307,52084498,5
6009461,49307,52084613,1
6009461,49307,52084412,2
6009461,49307,52084541,3
6009461,49307,52084423,4
6009461,49307,52084555,5
6009461,49307,52084437,6
6009461,49307,52084566,7
6009461,49307,52084449,8
6009461,49307,52084578,9
6009461,49307,52084461,10
6009461,49307,52084590,11
6009461,49307,52084473,12
6009461,49307,52084360,13
6009461,49307,52084487,14
6009461,49307,52084365,15
6009461,49307,52084501,16
6009461,49307,52084393,17
6009461,49307,52084513,18
6009461,49307,52084369,19
6009461,49307,52084524,20
6009461,49307,52084382,21
6009461,49307,52084532,22
6009462,49307,52084605,1
6009462,49307,52084536,2
6009462,49307,52084418,3
6009462,49307,52084550,4
6009462,49307,52084432,5
6009462,49307,52084562,6
6009462,49307,52084445,7
6009462,49307,52084574,8
6009462,49307,52084457,9
6009462,49307,52084586,10
6009462,49307,52084469,11
6009462,49307,52084598,12
6009462,49307,52084482,13
6009462,49307,52084395,14
6009462,49307,52084496,15
6009462,49307,52084406,16
6009462,49307,52084509,17
6009462,49307,52084388,18
6009462,49307,52084521,19
6009462,49307,52084379,20
6009462,49307,52084530,21
6009463,49307,52084614,1
6009463,49307,52084413,2
6009463,49307,52084543,3
6009463,49307,52084425,4
6009463,49307,52084557,5
6009463,49307,52084439,6
6009463,49307,52084568,7
6009463,49307,52084451,8
6009463,49307,52084580,9
6009463,49307,52084463,10
6009463,49307,52084592,11
6009463,49307,52084475,12
6009463,49307,52084363,13
6009463,49307,52084489,14
6009463,49307,52084383,15
6009463,49307,52084503,16
6009463,49307,52084385,17
6009463,49307,52084515,18
6009463,49307,52084371,19
6009463,49307,52084526,20
6009464,49307,52084615,1
6009464,49307,52084414,2
6009464,49307,52084544,3
6009464,49307,52084426,4
6009464,49307,52084558,5
6009464,49307,52084440,6
6009464,49307,52084569,7
6009464,49307,52084452,8
6009464,49307,52084581,9
6009464,49307,52084464,10
6009464,49307,52084593,11
6009464,49307,52084476,12
6009464,49307,52084408,13
6009464,49307,52084490,14
6009464,49307,52084378,15
6009464,49307,52084504,16
6009464,49307,52084368,17
6009464,49307,52084516,18
6009465,49307,52084606,1
6009465,49307,52084539,2
6009465,49307,52084421,3
6009465,49307,52084553,4
6009465,49307,52084435,5
6009465,49307,52084565,6
6009465,49307,52084448,7
6009465,49307,52084577,8
6009465,49307,52084460,9
6009465,49307,52084589,10
6009465,49307,52084472,11
6009465,49307,52084361,12
6009465,49307,52084486,13
6009465,49307,52084367,14
6009465,49307,52084500,15
6009465,49307,52084407,16
6009465,49307,52084512,17
6009465,49307,52084381,18
6009466,49307,52084616,1
6009466,49307,52084417,2
6009466,49307,52084549,3
6009466,49307,52084431,4
6009467,49307,52084609,1
6009467,49307,52084596,2
6009467,49307,52084479,3
6009467,49307,52084402,4
6009467,49307,52084493,5
6009468,49307,52084607,1
6009468,49307,52084542,2
6009468,49307,52084424,3
6009468,49307,52084556,4
6009468,49307,52084438,5
6009468,49307,52084567,6
6009468,49307,52084450,7
6009468,49307,52084579,8
6009468,49307,52084462,9
6009468,49307,52084591,10
6009468,49307,52084474,11
6009468,49307,52084359,12
6009468,49307,52084488,13
6009468,49307,52084404,14
6009468,49307,52084502,15
6009468,49307,52084389,16
6009468,49307,52084514,17
6009468,49307,52084373,18
6009468,49307,52084525,19
6009468,49307,52084375,20
6009469,49307,52084608,1
6009469,49307,52084545,2
6009469,49307,52084427,3
6009469,49307,52084603,4
6009469,49307,52084441,5
6009469,49307,52084570,6
6009469,49307,52084453,7
6009469,49307,52084582,8
6009469,49307,52084465,9
6009469,49307,52084594,10
6009469,49307,52084477,11
6009469,49307,52084405,12
6009469,49307,52084491,13
6009469,49307,52084400,14
6009469,49307,52084505,15
6009469,49307,52084396,16
6009469,49307,52084517,17
6009469,49307,52084377,18
6009469,49307,52084527,19
6009469,49307,52084599,20
6009470,11474,51864946,1
6009470,11474,51864828,2
6009470,11474,51864956,3
6009470,11474,51864838,4
6009470,11474,51864966,5
6009470,11474,51864850,6
6009470,11474,51864978,7
6009470,11474,51864862,8
6009470,11474,51864990,9
6009470,11474,51864874,10
6009470,11474,51865002,11
6009470,11474,51864886,12
6009470,11474,51865014,13
6009470,11474,51864898,14
6009470,11474,51865026,15
6009470,11474,51864910,16
6009470,11474,51865038,17
6009470,11474,51864922,18
6009470,11474,51865050,19
6009470,11474,51864932,20
6009470,11474,51865059,21
6009470,11474,51864943,22
6009474,11474,51864947,1
6009474,11474,51864829,2
6009474,11474,51864957,3
6009474,11474,51864839,4
6009474,11474,51864967,5
6009474,11474,51864851,6
6009474,11474,51864979,7
6009474,11474,51864863,8
6009474,11474,51864991,9
6009474,11474,51864875,10
6009474,11474,51865003,11
6009474,11474,51864887,12
6009474,11474,51865015,13
6009474,11474,51864899,14
6009474,11474,51865027,15
6009474,11474,51864911,16
6009474,11474,51865039,17
6009474,11474,51864923,18
6009474,11474,51865051,19
6009475,11474,51864823,1
6009475,11474,51864952,2
6009475,11474,51864834,3
6009475,11474,51864962,4
6009475,11474,51864845,5
6009475,11474,51864973,6
6009475,11474,51864857,7
6009475,11474,51864985,8
6009475,11474,51864869,9
6009475,11474,51864997,10
6009475,11474,51864881,11
6009475,11474,51865009,12
6009475,11474,51864893,13
6009475,11474,51865021,14
6009475,11474,51864905,15
6009475,11474,51865033,16
6009475,11474,51864917,17
6009475,11474,51865045,18
6009475,11474,51864929,19
6009475,11474,51865056,20
6009475,11474,51864940,21
6009476,11474,51864824,1
6009476,11474,51864953,2
6009476,11474,51864835,3
6009476,11474,51864963,4
6009476,11474,51864847,5
6009476,11474,51864975,6
6009476,11474,51864859,7
6009476,11474,51864987,8
6009476,11474,51864871,9
6009476,11474,51864999,10
6009476,11474,51864883,11
6009476,11474,51865011,12
6009476,11474,51864895,13
6009476,11474,51865023,14
6009476,11474,51864907,15
6009476,11474,51865035,16
6009476,11474,51864919,17
6009476,11474,51865047,18
6009476,11474,51864930,19
6009476,11474,51865057,20
6009477,11474,51864948,1
6009477,11474,51864831,2
6009477,11474,51864959,3
6009477,11474,51864841,4
6009477,11474,51864969,5
6009477,11474,51864853,6
6009477,11474,51864981,7
6009477,11474,51864865,8
6009477,11474,51864993,9
6009477,11474,51864877,10
6009477,11474,51865005,11
6009477,11474,51864889,12
6009477,11474,51865017,13
6009477,11474,51864901,14
6009477,11474,51865029,15
6009477,11474,51864913,16
6009477,11474,51865041,17
6009477,11474,51864925,18
6009478,11474,51864825,1
6009478,11474,51864954,2
6009478,11474,51864836,3
6009478,11474,51864964,4
6009478,11474,51864848,5
6009478,11474,51864976,6
6009478,11474,51864860,7
6009478,11474,51864988,8
6009478,11474,51864872,9
6009478,11474,51865000,10
6009478,11474,51864884,11
6009478,11474,51865012,12
6009478,11474,51864896,13
6009478,11474,51865024,14
6009478,11474,51864908,15
6009478,11474,51865036,16
6009478,11474,51864920,17
6009478,11474,51865048,18
6009479,11474,51864826,1
6009479,11474,51864955,2
6009479,11474,51864837,3
6009479,11474,51864965,4
6009479,11474,51864849,5
6009479,11474,51864977,6
6009479,11474,51864861,7
6009479,11474,51864989,8
6009479,11474,51864873,9
6009479,11474,51865001,10
6009479,11474,51864885,11
6009479,11474,51865013,12
6009479,11474,51864897,13
6009479,11474,51865025,14
6009479,11474,51864909,15
6009479,11474,51865037,16
6009479,11474,51864921,17
6009479,11474,51865049,18
6009479,11474,51864931,19
6009479,11474,51865058,20
6009480,11474,51865064,1
6009480,11474,51864846,2
6009480,11474,51864974,3
6009480,11474,51864858,4
