service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
49307,0,1,1,1,1,0,0,20210325,20210611
46209,1,1,1,1,1,0,0,20210405,20210611
44359,0,1,1,1,1,0,0,20210405,20210611
13316,0,0,0,0,0,0,1,20210328,20210606
12365,0,0,0,0,0,0,1,20210404,20210606
11474,0,0,0,0,0,1,0,20210327,20210605
10515,0,0,0,0,0,0,1,20210404,20210606
8325,0,0,0,0,0,1,0,20210403,20210605
4948,1,1,1,1,1,0,0,20210325,20210402
3149,0,0,0,0,0,1,0,20210327,20210403
951,0,0,0,0,0,0,1,20210328,20210328
