service_id,date,exception_type
49307,20210531,2
49307,20210607,1
49307,20210329,1
49307,20210405,1
49307,20210517,1
49307,20210524,1
49307,20210510,1
49307,20210503,1
49307,20210419,1
49307,20210426,1
49307,20210412,1
44359,20210531,2
44359,20210607,1
44359,20210405,1
44359,20210517,1
44359,20210524,1
44359,20210510,1
44359,20210503,1
44359,20210419,1
44359,20210426,1
44359,20210412,1
13316,20210329,2
13316,20210405,2
13316,20210517,2
13316,20210524,2
13316,20210510,2
13316,20210503,2
13316,20210419,2
13316,20210426,2
13316,20210412,2
13316,20210531,1
12365,20210405,2
12365,20210517,2
12365,20210524,2
12365,20210510,2
12365,20210503,2
12365,20210419,2
12365,20210426,2
12365,20210412,2
12365,20210531,1
