,id,geographic_area_name,estimate_total,estimate_total_less_than_10_000,estimate_total_10_000_to_14_999,estimate_total_15_000_to_19_999,estimate_total_20_000_to_24_999,estimate_total_25_000_to_29_999,estimate_total_30_000_to_34_999,estimate_total_35_000_to_39_999,estimate_total_40_000_to_44_999,estimate_total_45_000_to_49_999,estimate_total_50_000_to_59_999,estimate_total_60_000_to_74_999,estimate_total_75_000_to_99_999,estimate_total_100_000_to_124_999,estimate_total_125_000_to_149_999,estimate_total_150_000_to_199_999,estimate_total_200_000_or_more,estimate_median_household_income,Geoid
0,1500000US530330001001,"Block Group 1, Census Tract 1, King County, Washington",514,0,0,0,0,30,0,0,0,0,15,15,66,53,31,18,286,206400,530330001001
1,1500000US530330001002,"Block Group 2, Census Tract 1, King County, Washington",740,34,35,38,12,62,15,64,58,42,193,12,65,46,33,18,13,50714,530330001002
2,1500000US530330001003,"Block Group 3, Census Tract 1, King County, Washington",699,76,90,95,45,0,0,0,15,19,38,57,47,50,19,96,52,51397,530330001003
3,1500000US530330001004,"Block Group 4, Census Tract 1, King County, Washington",1240,52,64,128,113,65,24,131,66,47,63,105,202,124,39,0,17,42150,530330001004
4,1500000US530330001005,"Block Group 5, Census Tract 1, King County, Washington",777,60,34,0,89,109,0,50,30,31,70,143,46,11,18,86,0,47292,530330001005
5,1500000US530330002001,"Block Group 1, Census Tract 2, King County, Washington",538,0,0,0,0,0,0,0,0,32,109,0,101,128,31,119,18,115500,530330002001
6,1500000US530330002002,"Block Group 2, Census Tract 2, King County, Washington",541,36,0,0,0,0,32,0,17,62,72,136,56,103,0,13,14,67043,530330002002
7,1500000US530330002003,"Block Group 3, Census Tract 2, King County, Washington",909,20,15,61,0,39,0,53,69,120,83,102,114,65,91,21,56,59570,530330002003
8,1500000US530330002004,"Block Group 4, Census Tract 2, King County, Washington",505,16,0,15,21,16,0,16,0,0,60,78,98,71,28,51,35,85964,530330002004
9,1500000US530330002005,"Block Group 5, Census Tract 2, King County, Washington",758,58,17,35,0,33,52,14,0,0,46,94,101,99,78,81,50,89821,530330002005
10,1500000US530330002006,"Block Group 6, Census Tract 2, King County, Washington",506,19,0,14,0,14,0,0,29,27,0,46,75,84,44,59,95,113795,530330002006
11,1500000US530330003001,"Block Group 1, Census Tract 3, King County, Washington",495,0,0,0,0,11,20,22,17,22,54,23,36,51,97,57,85,120865,530330003001
