id,geographic_area_name,estimate_total,estimate_total_car_truck_or_van,estimate_total_public_transportation,estimate_total_public_transportation_bus,estimate_total_public_transportation_subway_or_elevated_rail,estimate_total_public_transportation_long_distance_train_or_commuter_rail,estimate_total_public_transportation_light_rail_streetcar_or_trolley_carro_público_in_puerto_rico,estimate_total_public_transportation_ferryboat,estimate_total_taxicab,estimate_total_motorcycle,estimate_total_bicycle,estimate_total_walked,estimate_total_other_means,estimate_total_worked_from_home
1500000US530330001001,"Block Group 1, Census Tract 1, King County, Washington",814,559,33,33,0,0,0,0,0,0,71,0,12,139
1500000US530330001002,"Block Group 2, Census Tract 1, King County, Washington",803,494,258,244,14,0,0,0,0,0,0,18,0,33
1500000US530330001003,"Block Group 3, Census Tract 1, King County, Washington",752,486,204,204,0,0,0,0,0,0,20,42,0,0
1500000US530330001004,"Block Group 4, Census Tract 1, King County, Washington",1314,883,328,304,24,0,0,0,0,0,53,0,0,50
1500000US530330001005,"Block Group 5, Census Tract 1, King County, Washington",827,497,230,230,0,0,0,0,0,0,17,62,0,21
1500000US530330002001,"Block Group 1, Census Tract 2, King County, Washington",785,536,124,124,0,0,0,0,0,19,29,24,0,53
1500000US530330002002,"Block Group 2, Census Tract 2, King County, Washington",603,420,134,134,0,0,0,0,0,0,0,39,0,10
1500000US530330002003,"Block Group 3, Census Tract 2, King County, Washington",1235,714,425,425,0,0,0,0,0,0,18,60,0,18
1500000US530330002004,"Block Group 4, Census Tract 2, King County, Washington",508,273,188,188,0,0,0,0,0,0,0,0,0,47
1500000US530330002005,"Block Group 5, Census Tract 2, King County, Washington",1045,497,193,193,0,0,0,0,0,0,94,14,94,153
1500000US530330002006,"Block Group 6, Census Tract 2, King County, Washington",799,533,147,147,0,0,0,0,0,25,0,0,0,94
1500000US530330003001,"Block Group 1, Census Tract 3, King County, Washington",744,504,118,118,0,0,0,0,11,0,22,54,12,23
1500000US530330003002,"Block Group 2, Census Tract 3, King County, Washington",1102,721,172,172,0,0,0,0,0,0,0,124,9,76
1500000US530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",1944,1547,293,293,0,0,0,0,77,0,17,0,0,10
1500000US530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",881,682,113,113,0,0,0,0,0,36,0,22,0,28
1500000US530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",619,447,99,99,0,0,0,0,0,0,0,61,0,12
1500000US530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",608,384,118,118,0,0,0,0,0,0,13,0,0,93
1500000US530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",567,251,136,136,0,0,0,0,0,0,0,91,0,89
1500000US530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",979,617,272,272,0,0,0,0,13,0,38,39,0,0
1500000US530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",707,566,74,74,0,0,0,0,0,18,34,0,0,15
1500000US530330005001,"Block Group 1, Census Tract 5, King County, Washington",664,451,48,48,0,0,0,0,0,0,20,45,10,90
1500000US530330005002,"Block Group 2, Census Tract 5, King County, Washington",448,342,26,26,0,0,0,0,0,0,0,0,9,71
1500000US530330005003,"Block Group 3, Census Tract 5, King County, Washington",511,341,100,100,0,0,0,0,9,0,17,0,8,36
1500000US530330006001,"Block Group 1, Census Tract 6, King County, Washington",709,488,112,112,0,0,0,0,0,26,0,50,33,0
1500000US530330006002,"Block Group 2, Census Tract 6, King County, Washington",508,285,146,146,0,0,0,0,0,0,0,32,0,45
1500000US530330006003,"Block Group 3, Census Tract 6, King County, Washington",880,721,60,60,0,0,0,0,0,0,0,27,0,72
1500000US530330006004,"Block Group 4, Census Tract 6, King County, Washington",976,702,122,122,0,0,0,0,0,0,17,71,0,64
1500000US530330006005,"Block Group 5, Census Tract 6, King County, Washington",686,481,154,154,0,0,0,0,0,0,14,0,0,37
1500000US530330006006,"Block Group 6, Census Tract 6, King County, Washington",846,484,188,188,0,0,0,0,0,41,30,14,0,89
1500000US530330007001,"Block Group 1, Census Tract 7, King County, Washington",1282,840,316,300,0,16,0,0,0,0,0,31,17,78
1500000US530330007002,"Block Group 2, Census Tract 7, King County, Washington",938,625,267,267,0,0,0,0,0,31,0,15,0,0
1500000US530330007003,"Block Group 3, Census Tract 7, King County, Washington",869,671,51,51,0,0,0,0,0,0,135,0,0,12
1500000US530330007004,"Block Group 4, Census Tract 7, King County, Washington",326,240,53,53,0,0,0,0,0,0,14,19,0,0
1500000US530330008001,"Block Group 1, Census Tract 8, King County, Washington",672,463,89,89,0,0,0,0,0,0,7,0,0,113
1500000US530330008002,"Block Group 2, Census Tract 8, King County, Washington",912,711,159,159,0,0,0,0,0,0,16,4,0,22
1500000US530330009001,"Block Group 1, Census Tract 9, King County, Washington",595,422,127,113,8,0,6,0,0,0,7,9,8,22
1500000US530330009002,"Block Group 2, Census Tract 9, King County, Washington",473,367,31,31,0,0,0,0,0,0,4,13,5,53
1500000US530330010001,"Block Group 1, Census Tract 10, King County, Washington",446,311,90,90,0,0,0,0,0,5,20,6,0,14
1500000US530330010002,"Block Group 2, Census Tract 10, King County, Washington",622,312,182,182,0,0,0,0,0,5,40,4,0,79
1500000US530330011001,"Block Group 1, Census Tract 11, King County, Washington",677,491,77,77,0,0,0,0,0,0,6,7,0,96
1500000US530330011002,"Block Group 2, Census Tract 11, King County, Washington",742,558,86,86,0,0,0,0,0,0,25,34,0,39
1500000US530330012001,"Block Group 1, Census Tract 12, King County, Washington",708,464,130,130,0,0,0,0,0,18,32,6,13,45
1500000US530330012002,"Block Group 2, Census Tract 12, King County, Washington",610,265,235,235,0,0,0,0,0,0,34,63,13,0
1500000US530330012003,"Block Group 3, Census Tract 12, King County, Washington",942,407,412,412,0,0,0,0,0,0,19,36,0,68
