id,geographic_area_name,estimate_total,estimate_total_less_than_10_minutes,estimate_total_10_to_14_minutes,estimate_total_15_to_19_minutes,estimate_total_20_to_24_minutes,estimate_total_25_to_29_minutes,estimate_total_30_to_34_minutes,estimate_total_35_to_44_minutes,estimate_total_45_to_59_minutes,estimate_total_60_or_more_minutes,estimate_total_public_transportation_excluding_taxicab,estimate_total_public_transportation_excluding_taxicab_less_than_10_minutes,estimate_total_public_transportation_excluding_taxicab_10_to_14_minutes,estimate_total_public_transportation_excluding_taxicab_15_to_19_minutes,estimate_total_public_transportation_excluding_taxicab_20_to_24_minutes,estimate_total_public_transportation_excluding_taxicab_25_to_29_minutes,estimate_total_public_transportation_excluding_taxicab_30_to_34_minutes,estimate_total_public_transportation_excluding_taxicab_35_to_44_minutes,estimate_total_public_transportation_excluding_taxicab_45_to_59_minutes,estimate_total_public_transportation_excluding_taxicab_60_or_more_minutes,estimate_total_public_transportation_excluding_taxicab_bus,estimate_total_public_transportation_excluding_taxicab_bus_less_than_10_minutes,estimate_total_public_transportation_excluding_taxicab_bus_10_to_14_minutes,estimate_total_public_transportation_excluding_taxicab_bus_15_to_19_minutes,estimate_total_public_transportation_excluding_taxicab_bus_20_to_24_minutes,estimate_total_public_transportation_excluding_taxicab_bus_25_to_29_minutes,estimate_total_public_transportation_excluding_taxicab_bus_30_to_34_minutes,estimate_total_public_transportation_excluding_taxicab_bus_35_to_44_minutes,estimate_total_public_transportation_excluding_taxicab_bus_45_to_59_minutes,estimate_total_public_transportation_excluding_taxicab_bus_60_or_more_minutes,estimate_total_public_transportation_excluding_taxicab_subway_or_elevated_rail_light_rail_streetcar_or_trolley_carro_público_in_puerto_rico,estimate_total_public_transportation_excluding_taxicab_subway_or_elevated_rail_light_rail_streetcar_or_trolley_carro_público_in_puerto_rico_less_than_10_minutes,estimate_total_public_transportation_excluding_taxicab_subway_or_elevated_rail_light_rail_streetcar_or_trolley_carro_público_in_puerto_rico_10_to_14_minutes,estimate_total_public_transportation_excluding_taxicab_subway_or_elevated_rail_light_rail_streetcar_or_trolley_carro_público_in_puerto_rico_15_to_19_minutes,estimate_total_public_transportation_excluding_taxicab_subway_or_elevated_rail_light_rail_streetcar_or_trolley_carro_público_in_puerto_rico_20_to_24_minutes,estimate_total_public_transportation_excluding_taxicab_subway_or_elevated_rail_light_rail_streetcar_or_trolley_carro_público_in_puerto_rico_25_to_29_minutes,estimate_total_public_transportation_excluding_taxicab_subway_or_elevated_rail_light_rail_streetcar_or_trolley_carro_público_in_puerto_rico_30_to_34_minutes,estimate_total_public_transportation_excluding_taxicab_subway_or_elevated_rail_light_rail_streetcar_or_trolley_carro_público_in_puerto_rico_35_to_44_minutes,estimate_total_public_transportation_excluding_taxicab_subway_or_elevated_rail_light_rail_streetcar_or_trolley_carro_público_in_puerto_rico_45_to_59_minutes,estimate_total_public_transportation_excluding_taxicab_subway_or_elevated_rail_light_rail_streetcar_or_trolley_carro_público_in_puerto_rico_60_or_more_minutes,estimate_total_public_transportation_excluding_taxicab_long_distance_train_or_commuter_rail_or_ferryboat,estimate_total_public_transportation_excluding_taxicab_long_distance_train_or_commuter_rail_or_ferryboat_less_than_10_minutes,estimate_total_public_transportation_excluding_taxicab_long_distance_train_or_commuter_rail_or_ferryboat_10_to_14_minutes,estimate_total_public_transportation_excluding_taxicab_long_distance_train_or_commuter_rail_or_ferryboat_15_to_19_minutes,estimate_total_public_transportation_excluding_taxicab_long_distance_train_or_commuter_rail_or_ferryboat_20_to_24_minutes,estimate_total_public_transportation_excluding_taxicab_long_distance_train_or_commuter_rail_or_ferryboat_25_to_29_minutes,estimate_total_public_transportation_excluding_taxicab_long_distance_train_or_commuter_rail_or_ferryboat_30_to_34_minutes,estimate_total_public_transportation_excluding_taxicab_long_distance_train_or_commuter_rail_or_ferryboat_35_to_44_minutes,estimate_total_public_transportation_excluding_taxicab_long_distance_train_or_commuter_rail_or_ferryboat_45_to_59_minutes,estimate_total_public_transportation_excluding_taxicab_long_distance_train_or_commuter_rail_or_ferryboat_60_or_more_minutes,estimate_total_walked,estimate_total_walked_less_than_10_minutes,estimate_total_walked_10_to_14_minutes,estimate_total_walked_15_to_19_minutes,estimate_total_walked_20_to_24_minutes,estimate_total_walked_25_to_29_minutes,estimate_total_walked_30_to_34_minutes,estimate_total_walked_35_to_44_minutes,estimate_total_walked_45_to_59_minutes,estimate_total_walked_60_or_more_minutes,estimate_total_taxicab_motorcycle_bicycle_or_other_means,estimate_total_taxicab_motorcycle_bicycle_or_other_means_less_than_10_minutes,estimate_total_taxicab_motorcycle_bicycle_or_other_means_10_to_14_minutes,estimate_total_taxicab_motorcycle_bicycle_or_other_means_15_to_19_minutes,estimate_total_taxicab_motorcycle_bicycle_or_other_means_20_to_24_minutes,estimate_total_taxicab_motorcycle_bicycle_or_other_means_25_to_29_minutes,estimate_total_taxicab_motorcycle_bicycle_or_other_means_30_to_34_minutes,estimate_total_taxicab_motorcycle_bicycle_or_other_means_35_to_44_minutes,estimate_total_taxicab_motorcycle_bicycle_or_other_means_45_to_59_minutes,estimate_total_taxicab_motorcycle_bicycle_or_other_means_60_or_more_minutes
1500000US530330001001,"Block Group 1, Census Tract 1, King County, Washington",675,38,51,139,188,66,108,34,32,19,33,0,0,0,17,0,0,0,16,0,33,0,0,0,17,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,12,0,0,20,0,18,17,16,0
1500000US530330001002,"Block Group 2, Census Tract 1, King County, Washington",770,37,37,142,55,96,200,30,120,53,258,0,0,45,0,31,17,30,82,53,244,0,0,45,0,31,17,30,68,53,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US530330001003,"Block Group 3, Census Tract 1, King County, Washington",752,48,16,54,187,54,113,124,132,24,204,0,0,0,0,0,75,71,34,24,204,0,0,0,0,0,75,71,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,26,16,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0
1500000US530330001004,"Block Group 4, Census Tract 1, King County, Washington",1264,72,81,102,254,124,183,86,221,141,328,0,0,0,0,20,38,31,151,88,304,0,0,0,0,20,38,31,127,88,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,53
1500000US530330001005,"Block Group 5, Census Tract 1, King County, Washington",806,90,49,36,80,140,169,83,159,0,230,0,0,0,0,14,132,0,84,0,230,0,0,0,0,14,132,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0
1500000US530330002001,"Block Group 1, Census Tract 2, King County, Washington",732,0,0,86,154,78,134,50,212,18,124,0,0,0,0,0,13,14,79,18,124,0,0,0,0,0,13,14,79,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,24,0,0,0,0,0,0,48,0,0,0,0,15,33,0,0,0
1500000US530330002002,"Block Group 2, Census Tract 2, King County, Washington",593,0,85,0,73,33,89,164,135,14,134,0,0,0,35,14,31,14,40,0,134,0,0,0,35,14,31,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,18,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
1500000US530330002003,"Block Group 3, Census Tract 2, King County, Washington",1217,122,112,130,136,83,164,220,162,88,425,18,0,0,42,45,35,103,110,72,425,18,0,0,42,45,35,103,110,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,32,0,14,14,0,0,0,0,0,18,0,0,0,0,0,0,0,18,0
1500000US530330002004,"Block Group 4, Census Tract 2, King County, Washington",461,30,33,30,13,102,97,84,21,51,188,0,0,0,0,70,26,71,0,21,188,0,0,0,0,70,26,71,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US530330002005,"Block Group 5, Census Tract 2, King County, Washington",892,94,130,34,99,93,31,76,270,65,193,0,70,0,36,0,31,22,34,0,193,0,70,0,36,0,31,22,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,188,80,0,0,14,0,0,0,80,14
1500000US530330002006,"Block Group 6, Census Tract 2, King County, Washington",705,19,31,81,82,84,167,85,108,48,147,0,0,0,15,0,24,37,71,0,147,0,0,0,15,0,24,37,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0
1500000US530330003001,"Block Group 1, Census Tract 3, King County, Washington",721,63,73,111,146,45,96,54,109,24,118,0,0,10,1,0,27,7,58,15,118,0,0,10,1,0,27,7,58,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,42,7,0,0,0,0,5,0,0,45,11,0,0,22,0,0,12,0,0
1500000US530330003002,"Block Group 2, Census Tract 3, King County, Washington",1026,140,52,90,95,83,201,124,166,75,172,0,0,0,0,0,34,27,66,45,172,0,0,0,0,0,34,27,66,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,75,0,0,0,0,0,21,28,0,9,0,0,0,0,0,0,9,0,0
1500000US530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",1934,236,261,262,251,216,266,103,214,125,293,0,19,0,0,0,79,0,91,104,293,0,19,0,0,0,79,0,91,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,77,0,0,17,0
1500000US530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",853,36,13,0,192,72,210,108,126,96,113,0,0,0,0,0,0,0,63,50,113,0,0,0,0,0,0,0,63,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,22,0,0,0,0,0,36,0,0,0,0,0,18,18,0,0
