id,geographic_area_name,estimate_total,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races,estimate_total_two_or_more_races_two_races_including_some_other_race,estimate_total_two_or_more_races_two_races_excluding_some_other_race_and_three_or_more_races
1500000US530330001001,"Block Group 1, Census Tract 1, King County, Washington",1281,1093,0,16,104,0,0,68,20,48
1500000US530330001002,"Block Group 2, Census Tract 1, King County, Washington",1597,800,308,0,238,0,30,221,0,221
1500000US530330001003,"Block Group 3, Census Tract 1, King County, Washington",1446,869,88,0,311,0,73,105,0,105
1500000US530330001004,"Block Group 4, Census Tract 1, King County, Washington",2535,904,953,10,266,0,53,349,45,304
1500000US530330001005,"Block Group 5, Census Tract 1, King County, Washington",1343,871,47,13,283,0,116,13,0,13
1500000US530330002001,"Block Group 1, Census Tract 2, King County, Washington",1381,1108,78,0,154,0,0,41,0,41
1500000US530330002002,"Block Group 2, Census Tract 2, King County, Washington",1359,740,151,0,293,0,42,133,0,133
1500000US530330002003,"Block Group 3, Census Tract 2, King County, Washington",1894,1191,307,0,215,0,63,118,17,101
1500000US530330002004,"Block Group 4, Census Tract 2, King County, Washington",1068,757,29,0,193,0,37,52,0,52
1500000US530330002005,"Block Group 5, Census Tract 2, King County, Washington",1696,1195,48,0,134,0,245,74,0,74
1500000US530330002006,"Block Group 6, Census Tract 2, King County, Washington",1381,1009,0,36,179,0,0,157,0,157
1500000US530330003001,"Block Group 1, Census Tract 3, King County, Washington",1319,962,42,0,160,0,12,143,0,143
1500000US530330003002,"Block Group 2, Census Tract 3, King County, Washington",1634,1080,98,0,324,0,15,117,12,105
1500000US530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",3608,1816,1091,0,522,0,47,132,0,132
1500000US530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",1748,1301,16,0,260,0,21,150,0,150
1500000US530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",1789,1370,94,0,188,0,0,137,0,137
1500000US530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",1255,781,56,0,225,23,0,170,0,170
1500000US530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",894,681,15,0,101,0,0,97,0,97
1500000US530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",1393,1275,0,0,49,0,17,52,0,52
1500000US530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",1648,1543,0,0,90,0,0,15,0,15
1500000US530330005001,"Block Group 1, Census Tract 5, King County, Washington",1360,1219,24,0,71,0,0,46,0,46
1500000US530330005002,"Block Group 2, Census Tract 5, King County, Washington",839,737,0,0,73,0,0,29,0,29
1500000US530330005003,"Block Group 3, Census Tract 5, King County, Washington",944,753,0,0,134,0,0,57,0,57
1500000US530330006001,"Block Group 1, Census Tract 6, King County, Washington",1279,814,111,70,180,0,0,104,0,104
1500000US530330006002,"Block Group 2, Census Tract 6, King County, Washington",1107,692,62,0,175,0,0,178,41,137
1500000US530330006003,"Block Group 3, Census Tract 6, King County, Washington",1685,797,240,0,298,0,314,36,8,28
1500000US530330006004,"Block Group 4, Census Tract 6, King County, Washington",1701,1240,123,0,185,0,58,95,0,95
1500000US530330006005,"Block Group 5, Census Tract 6, King County, Washington",1150,500,165,0,146,0,296,43,0,43
