,id,geographic_area_name,estimate_total,estimate_total_car_truck_or_van,estimate_total_public_transportation,estimate_total_public_transportation_bus,estimate_total_public_transportation_subway_or_elevated_rail,estimate_total_public_transportation_long_distance_train_or_commuter_rail,estimate_total_public_transportation_light_rail_streetcar_or_trolley_carro_público_in_puerto_rico,estimate_total_public_transportation_ferryboat,estimate_total_taxicab,estimate_total_motorcycle,estimate_total_bicycle,estimate_total_walked,estimate_total_other_means,estimate_total_worked_from_home,Geoid
0,1500000US530330001001,"Block Group 1, Census Tract 1, King County, Washington",814,559,33,33,0,0,0,0,0,0,71,0,12,139,530330001001
1,1500000US530330001002,"Block Group 2, Census Tract 1, King County, Washington",803,494,258,244,14,0,0,0,0,0,0,18,0,33,530330001002
2,1500000US530330001003,"Block Group 3, Census Tract 1, King County, Washington",752,486,204,204,0,0,0,0,0,0,20,42,0,0,530330001003
3,1500000US530330001004,"Block Group 4, Census Tract 1, King County, Washington",1314,883,328,304,24,0,0,0,0,0,53,0,0,50,530330001004
4,1500000US530330001005,"Block Group 5, Census Tract 1, King County, Washington",827,497,230,230,0,0,0,0,0,0,17,62,0,21,530330001005
5,1500000US530330002001,"Block Group 1, Census Tract 2, King County, Washington",785,536,124,124,0,0,0,0,0,19,29,24,0,53,530330002001
6,1500000US530330002002,"Block Group 2, Census Tract 2, King County, Washington",603,420,134,134,0,0,0,0,0,0,0,39,0,10,530330002002
7,1500000US530330002003,"Block Group 3, Census Tract 2, King County, Washington",1235,714,425,425,0,0,0,0,0,0,18,60,0,18,530330002003
8,1500000US530330002004,"Block Group 4, Census Tract 2, King County, Washington",508,273,188,188,0,0,0,0,0,0,0,0,0,47,530330002004
9,1500000US530330002005,"Block Group 5, Census Tract 2, King County, Washington",1045,497,193,193,0,0,0,0,0,0,94,14,94,153,530330002005
10,1500000US530330002006,"Block Group 6, Census Tract 2, King County, Washington",799,533,147,147,0,0,0,0,0,25,0,0,0,94,530330002006
11,1500000US530330003001,"Block Group 1, Census Tract 3, King County, Washington",744,504,118,118,0,0,0,0,11,0,22,54,12,23,530330003001
12,1500000US530330003002,"Block Group 2, Census Tract 3, King County, Washington",1102,721,172,172,0,0,0,0,0,0,0,124,9,76,530330003002
13,1500000US530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",1944,1547,293,293,0,0,0,0,77,0,17,0,0,10,530330004011
14,1500000US530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",881,682,113,113,0,0,0,0,0,36,0,22,0,28,530330004012
15,1500000US530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",619,447,99,99,0,0,0,0,0,0,0,61,0,12,530330004013
16,1500000US530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",608,384,118,118,0,0,0,0,0,0,13,0,0,93,530330004021
17,1500000US530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",567,251,136,136,0,0,0,0,0,0,0,91,0,89,530330004022
18,1500000US530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",979,617,272,272,0,0,0,0,13,0,38,39,0,0,530330004023
19,1500000US530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",707,566,74,74,0,0,0,0,0,18,34,0,0,15,530330004024
20,1500000US530330005001,"Block Group 1, Census Tract 5, King County, Washington",664,451,48,48,0,0,0,0,0,0,20,45,10,90,530330005001
21,1500000US530330005002,"Block Group 2, Census Tract 5, King County, Washington",448,342,26,26,0,0,0,0,0,0,0,0,9,71,530330005002
22,1500000US530330005003,"Block Group 3, Census Tract 5, King County, Washington",511,341,100,100,0,0,0,0,9,0,17,0,8,36,530330005003
23,1500000US530330006001,"Block Group 1, Census Tract 6, King County, Washington",709,488,112,112,0,0,0,0,0,26,0,50,33,0,530330006001
24,1500000US530330006002,"Block Group 2, Census Tract 6, King County, Washington",508,285,146,146,0,0,0,0,0,0,0,32,0,45,530330006002
25,1500000US530330006003,"Block Group 3, Census Tract 6, King County, Washington",880,721,60,60,0,0,0,0,0,0,0,27,0,72,530330006003
26,1500000US530330006004,"Block Group 4, Census Tract 6, King County, Washington",976,702,122,122,0,0,0,0,0,0,17,71,0,64,530330006004
27,1500000US530330006005,"Block Group 5, Census Tract 6, King County, Washington",686,481,154,154,0,0,0,0,0,0,14,0,0,37,530330006005
